DOI,Link
"10.1109/TPDS.2021.3078254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105846989&doi=10.1109%2fTPDS.2021.3078254&partnerID=40&md5=c69e349296a827ca1168fc6b6271cf7b"
"10.1016/j.neucom.2021.07.045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112651139&doi=10.1016%2fj.neucom.2021.07.045&partnerID=40&md5=b2aea422f8c5f399231aebe6df65695d"
"10.3390/electronics10151754","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110532041&doi=10.3390%2felectronics10151754&partnerID=40&md5=099e5d25d543ced8c6ad84fda5d3fff9"
"10.3390/electronics10141715","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110212125&doi=10.3390%2felectronics10141715&partnerID=40&md5=4a3f60aadd73e366a9030db743760e3d"
"10.3390/s21134462","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108778220&doi=10.3390%2fs21134462&partnerID=40&md5=faf2a705991028f2cff4ae3e473f6d7f"
"10.3390/s21124205","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108100229&doi=10.3390%2fs21124205&partnerID=40&md5=b7ea760fddaf7146b0c35d4e9c32b5d8"
"10.3390/s21124153","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107982881&doi=10.3390%2fs21124153&partnerID=40&md5=e5a531080c0a802966382b71021c8844"
"10.3390/app11114940","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107792764&doi=10.3390%2fapp11114940&partnerID=40&md5=424d6ae87a42297fa2d80cbe47c5654a"
"10.1109/JBHI.2020.3037366","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098769491&doi=10.1109%2fJBHI.2020.3037366&partnerID=40&md5=274df72ee8d1bbedd8233382178c3236"
"10.1109/TCAD.2020.3011042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104573544&doi=10.1109%2fTCAD.2020.3011042&partnerID=40&md5=a32bb0872b4cf7990d4ac6f7ba961347"
"10.3390/electronics10091004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104567428&doi=10.3390%2felectronics10091004&partnerID=40&md5=6ba5246d40d92c485b3d104d9c00b987"
"10.1145/3432816","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105214298&doi=10.1145%2f3432816&partnerID=40&md5=018c4ed90c17c42dc77bc9cd2b492857"
"10.1145/3432815","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105120043&doi=10.1145%2f3432815&partnerID=40&md5=64d53323ef8b4f4ec63382e375c8724f"
"10.1016/j.micpro.2021.103900","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099250464&doi=10.1016%2fj.micpro.2021.103900&partnerID=40&md5=e813cb97858604660b93910c331cc3c9"
"10.1007/s10489-020-02017-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095445197&doi=10.1007%2fs10489-020-02017-3&partnerID=40&md5=2db72df06202cfff81661102df9c141a"
